time_us,detValue
1936010,2.905700
1938010,2.920400
1940010,3.111500
1941010,2.979200
1943010,2.915500
1944010,2.920400
1946010,3.062500
1947010,3.155600
1949010,3.189900
1950010,2.993900
1952010,2.846900
1953010,2.920400
1955010,2.930200
1956010,3.047800
1958010,2.949800
1960010,2.940000
1961010,3.111500
1963010,2.915500
1964011,3.003700
1966010,2.954700
1967010,3.101700
1969010,3.013500
1970010,2.910600
1972010,2.895900
1973010,3.136000
1975010,3.116400
1977010,2.998800
1978010,3.145800
1980010,3.018400
1981010,3.111500
1983010,3.180100
1984010,2.920400
1986010,2.842000
1987010,2.822400
1989010,3.136000
1990010,2.915500
1992010,2.964500
1994010,2.974300
1995010,3.091900
1997010,3.165400
1998010,3.111500
2000010,2.920400
2001010,3.077200
2003010,2.832200
2004010,2.842000
2006010,2.998800
2007010,2.984100
2009010,2.915500
2010010,3.052700
2012010,2.900800
2014010,3.013500
2015010,3.234000
2017010,2.949800
2018011,2.851800
2020010,2.832200
2021010,2.822400
2023010,2.910600
2024010,2.827300
2026010,3.111500
2027010,2.915500
2029010,2.925300
2031010,3.023300
2032010,3.028200
2034010,2.974300
2035010,2.900800
2037010,2.984100
2038010,2.817500
2040010,2.998800
2041010,2.856700
2043010,2.925300
2044010,3.018400
2046010,3.018400
2048010,3.077200
2049010,2.989000
2051010,3.087000
2052010,2.866500
2054010,2.842000
2055010,2.920400
2057010,2.974300
2058010,3.091900
2060010,3.091900
2061010,3.023300
2063010,3.121300
2064010,2.979200
2066010,3.126200
2068010,2.979200
2069010,2.866500
2071010,2.881200
2072011,2.905700
2074010,3.096800
2075010,3.042900
2077010,2.886100
2078010,3.052700
2080010,3.067400
2081010,3.047800
2083010,3.062500
2085014,2.925300
2086010,2.562700
2088010,2.533300
2089010,2.680300
2091010,2.655800
2092010,2.797900
2094010,2.793000
2095010,2.646000
2097010,2.665600
2098010,2.744000
2100010,2.797900
2102010,2.734200
2103010,2.675400
2105010,2.543100
2106010,2.773400
2108010,2.709700
2109010,2.778300
2111010,2.680300
2112010,2.704800
2114010,2.802800
2115010,2.944900
2117010,2.851800
2118010,2.709700
